timestamp,event,key,correct
1.2442721 ,keyPressed ,p  ,1 
1.3646161 ,keyReleased ,P  ,1 
1.5720343 ,keyPressed ,a  ,1 
1.6927574 ,keyReleased ,A  ,1 
1.9956272 ,keyPressed ,s  ,1 
2.0846305 ,keyReleased ,S  ,1 
2.1973517 ,keyPressed ,s  ,1 
2.2760112 ,keyReleased ,S  ,1 
2.5009039 ,keyPressed ,w  ,1 
2.5881566 ,keyReleased ,W  ,1 
2.7013545 ,keyPressed ,o  ,1 
2.7803895 ,keyReleased ,O  ,1 
3.0118264 ,keyPressed ,r  ,1 
3.1110964 ,keyReleased ,R  ,1 
3.3164511 ,keyPressed ,d  ,1 
3.4117866 ,keyReleased ,D  ,1 
3.8202571 ,keyPressed ,return ,1 
3.9245589 ,keyReleased ,Return ,1 
4.2283816 ,keyPressed ,p  ,1 
4.3249501 ,keyReleased ,P  ,1 
4.5398859 ,keyPressed ,a  ,1 
4.6525468 ,keyReleased ,A  ,1 
4.9323914 ,keyPressed ,s  ,1 
5.0042726 ,keyReleased ,S  ,1 
5.1246379 ,keyPressed ,s  ,1 
5.1963845 ,keyReleased ,S  ,1 
5.4606592 ,keyPressed ,w  ,1 
5.5486055 ,keyReleased ,W  ,1 
5.6527425 ,keyPressed ,o  ,1 
5.7404772 ,keyReleased ,O  ,1 
6.0038764 ,keyPressed ,r  ,1 
6.0603449 ,keyReleased ,R  ,1 
6.2844812 ,keyPressed ,d  ,1 
6.3799011 ,keyReleased ,D  ,1 
6.7801921 ,keyPressed ,return ,1 
6.8929163 ,keyReleased ,Return ,1 
7.2038563 ,keyPressed ,p  ,1 
7.291898 ,keyReleased ,P  ,1 
7.468256 ,keyPressed ,a  ,1 
7.5883223 ,keyReleased ,A  ,1 
7.8619252 ,keyPressed ,s  ,1 
7.9243826 ,keyReleased ,S  ,1 
8.0281851 ,keyPressed ,s  ,1 
8.1243987 ,keyReleased ,S  ,1 
8.3878988 ,keyPressed ,w  ,1 
8.4842193 ,keyReleased ,W  ,1 
8.5408443 ,keyPressed ,o  ,1 
8.6281669 ,keyReleased ,O  ,1 
8.8277002 ,keyPressed ,r  ,1 
8.9087367 ,keyReleased ,R  ,1 
9.1091454 ,keyPressed ,d  ,1 
9.2043877 ,keyReleased ,D  ,1 
9.509262 ,keyPressed ,return ,1 
9.6121893 ,keyReleased ,Return ,1 
9.9331077 ,keyPressed ,p  ,1 
10.0285248 ,keyReleased ,P  ,1 
10.2123699 ,keyPressed ,a  ,1 
10.3166255 ,keyReleased ,A  ,1 
10.5482927 ,keyPressed ,s  ,1 
10.6203046 ,keyReleased ,S  ,1 
10.7246541 ,keyPressed ,s  ,1 
10.7969277 ,keyReleased ,S  ,1 
11.077028 ,keyPressed ,w  ,1 
11.1883289 ,keyReleased ,W  ,1 
11.3242825 ,keyPressed ,o  ,1 
11.4045894 ,keyReleased ,O  ,1 
11.6130814 ,keyPressed ,r  ,1 
11.6930513 ,keyReleased ,R  ,1 
11.9088684 ,keyPressed ,d  ,1 
12.0039462 ,keyReleased ,D  ,1 
12.4928477 ,keyPressed ,return ,1 
12.6042264 ,keyReleased ,Return ,1 
12.9489707 ,keyPressed ,p  ,1 
13.0362012 ,keyReleased ,P  ,1 
13.2133213 ,keyPressed ,a  ,1 
13.3252041 ,keyReleased ,A  ,1 
13.6446232 ,keyPressed ,s  ,1 
13.7162289 ,keyReleased ,S  ,1 
13.8288207 ,keyPressed ,s  ,1 
13.9076009 ,keyReleased ,S  ,1 
14.3404974 ,keyPressed ,w  ,1 
