timestamp,event,key,correct
2.5681471 ,keyPressed  ,p  ,1 
2.6776145 ,keyReleased  ,P  ,1 
2.7910937 ,keyPressed  ,a  ,1 
2.9049551 ,keyReleased  ,A  ,1 
3.2989906 ,keyPressed  ,s  ,1 
3.3839341 ,keyReleased  ,S  ,1 
3.50408 ,keyPressed  ,s  ,1 
3.6069757 ,keyReleased  ,S  ,1 
4.0750437 ,keyPressed  ,w  ,1 
4.189114 ,keyReleased  ,W  ,1 
4.3488632 ,keyPressed  ,o  ,1 
4.4399198 ,keyReleased  ,O  ,1 
4.7600404 ,keyPressed  ,r  ,1 
4.8570129 ,keyReleased  ,R  ,1 
4.9930182 ,keyPressed  ,d  ,1 
5.1021047 ,keyReleased  ,D  ,1 
5.6275596 ,keyPressed  ,return ,1 
5.7186958 ,keyReleased  ,Return ,1 
8.1599575 ,keyPressed  ,p  ,1 
8.2969156 ,keyReleased  ,P  ,1 
8.4340786 ,keyPressed  ,a  ,1 
8.5432484 ,keyReleased  ,A  ,1 
8.7591367 ,keyPressed  ,s  ,1 
8.8451771 ,keyReleased  ,S  ,1 
8.9418976 ,keyPressed  ,s  ,1 
9.0728719 ,keyReleased  ,S  ,1 
9.5751005 ,keyPressed  ,w  ,1 
9.7122627 ,keyReleased  ,W  ,1 
9.8951223 ,keyPressed  ,o  ,1 
9.9919664 ,keyReleased  ,O  ,1 
10.1858869 ,keyPressed  ,r  ,1 
10.2769435 ,keyReleased  ,R  ,1 
10.4259844 ,keyPressed  ,d  ,1 
10.5451165 ,keyReleased  ,D  ,1 
10.8151838 ,keyPressed  ,return ,1 
10.9113007 ,keyReleased  ,Return ,1 
11.3840143 ,keyPressed  ,p  ,1 
11.4810828 ,keyReleased  ,P  ,1 
11.6355215 ,keyPressed  ,a  ,1 
11.7378281 ,keyReleased  ,A  ,1 
11.9148636 ,keyPressed  ,s  ,1 
12.0118386 ,keyReleased  ,S  ,1 
12.1428817 ,keyPressed  ,s  ,1 
12.2568977 ,keyReleased  ,S  ,1 
12.3938092 ,keyPressed  ,w  ,1 
12.514287 ,keyReleased  ,W  ,1 
12.6339352 ,keyPressed  ,o  ,1 
12.7309323 ,keyReleased  ,O  ,1 
12.8449646 ,keyPressed  ,r  ,1 
12.9419371 ,keyReleased  ,R  ,1 
13.0839824 ,keyPressed  ,d  ,1 
13.1988106 ,keyReleased  ,D  ,1 
13.3310648 ,keyPressed  ,return ,1 
13.4098568 ,keyReleased  ,Return ,1 
13.8780761 ,keyPressed  ,p  ,1 
13.9629813 ,keyReleased  ,P  ,1 
14.0951934 ,keyPressed  ,a  ,1 
14.1970361 ,keyReleased  ,A  ,1 
14.3574532 ,keyPressed  ,s  ,1 
14.4538809 ,keyReleased  ,S  ,1 
14.5619325 ,keyPressed  ,s  ,1 
14.6715097 ,keyReleased  ,S  ,1 
14.7964243 ,keyPressed  ,w  ,1 
14.9098739 ,keyReleased  ,W  ,1 
15.0702322 ,keyPressed  ,o  ,1 
15.167059 ,keyReleased  ,O  ,1 
15.2870707 ,keyPressed  ,r  ,1 
15.3669193 ,keyReleased  ,R  ,1 
15.5152441 ,keyPressed  ,d  ,1 
15.6289287 ,keyReleased  ,D  ,1 
15.7892546 ,keyPressed  ,return ,1 
15.8799152 ,keyReleased  ,Return ,1 
16.256956 ,keyPressed  ,p  ,1 
16.3480728 ,keyReleased  ,P  ,1 
16.4620768 ,keyPressed  ,a  ,1 
16.5765363 ,keyReleased  ,A  ,1 
16.7488833 ,keyPressed  ,s  ,1 
16.8390685 ,keyReleased  ,S  ,1 
16.9639491 ,keyPressed  ,s  ,1 
17.0559282 ,keyReleased  ,S  ,1 
17.1759033 ,keyPressed  ,w  ,1 
17.2778473 ,keyReleased  ,W  ,1 
17.9970868 ,keyPressed  ,o  ,1 
18.1057981 ,keyReleased  ,O  ,1 
18.2428934 ,keyPressed  ,r  ,1 
18.3339387 ,keyReleased  ,R  ,1 
18.4768791 ,keyPressed  ,d  ,1 
18.595871 ,keyReleased  ,D  ,1 
18.7052784 ,keyPressed  ,return ,1 
18.8077814 ,keyReleased  ,Return ,1 
19.1438179 ,keyPressed  ,p  ,1 
19.2347938 ,keyReleased  ,P  ,1 
19.3380906 ,keyPressed  ,a  ,1 
19.4470434 ,keyReleased  ,A  ,1 
19.6179557 ,keyPressed  ,s  ,1 
19.6980954 ,keyReleased  ,S  ,1 
19.7998996 ,keyPressed  ,s  ,1 
19.8968044 ,keyReleased  ,S  ,1 
20.028969 ,keyPressed  ,w  ,1 
20.1434421 ,keyReleased  ,W  ,1 
20.2799841 ,keyPressed  ,o  ,1 
20.3709784 ,keyReleased  ,O  ,1 
20.4908843 ,keyPressed  ,r  ,1 
20.5821935 ,keyReleased  ,R  ,1 
20.7248767 ,keyPressed  ,d  ,1 
20.8218772 ,keyReleased  ,D  ,1 
20.9597043 ,keyPressed  ,return ,1 
21.0500161 ,keyReleased  ,Return ,1 
21.4041164 ,keyPressed  ,p  ,1 
21.5008741 ,keyReleased  ,P  ,1 
21.5920875 ,keyPressed  ,a  ,1 
21.6948551 ,keyReleased  ,A  ,1 
21.8491478 ,keyPressed  ,s  ,1 
21.9399037 ,keyReleased  ,S  ,1 
22.0481252 ,keyPressed  ,s  ,1 
22.1399501 ,keyReleased  ,S  ,1 
22.2711167 ,keyPressed  ,w  ,1 
22.380117 ,keyReleased  ,W  ,1 
